birthyear,birthSex,ethnicityomb,raceomb_002,dscore,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,countrycit_num,countryres_num,edu,politicalid_7,religion2014,religionid
2002,2,1,7,-1.657233946,4,4,3,2,2,,,1,1,5,1,1,1,1,2,4,2,2
1996,1,1,7,-1.635411115,7,7,5,5,2,1,2,1,1,7,,1,231,1,6,3,2,3
2000,1,3,6,-1.587181646,4,4,3,5,2,,,2,1,1,1,,1,1,5,5,7,2
1997,1,2,2,-1.563609537,4,4,2,2,1,6,4,6,1,2,1,2,1,1,7,6,7,1
2004,1,3,4,-1.56299162,3,7,4,5,2,,1,1,1,7,,1,96,96,3,5,7,1
1991,1,,,-1.562479417,4,3,3,5,2,7,6,1,1,2,1,0,155,155,7,4,7,1
1993,1,2,6,-1.521177207,5,3,3,3,,1,11,1,1,2,1,,39,39,7,4,7,2
2001,1,2,6,-1.48996803,5,4,3,5,2,11,1,6,1,1,1,0,1,1,4,4,3,3
2002,2,2,6,-1.482302081,4,4,3,4,2,1,1,2,1,1,1,0,1,1,3,6,7,1
2002,2,1,6,-1.461647729,3,4,5,4,2,3,6,1,1,5,1,4,1,1,8,5,7,1
,,,,-1.387147567,4,4,5,4,2,8,8,1,2,2,1,0,,,,,,
2000,2,2,5,-1.362237174,4,4,4,4,2,1,1,7,,7,,0,1,1,5,3,3,3
,,,,-1.348393055,4,4,4,1,2,4,1,5,1,5,1,4,,,,,,
1986,1,2,6,-1.347673507,6,2,3,3,1,5,11,5,1,5,1,1,1,1,4,4,2,2
1995,1,3,7,-1.331634149,4,7,5,5,2,1,3,1,2,2,1,1,111,111,7,1,3,4
1969,2,2,6,-1.331589078,4,4,3,5,2,6,5,1,1,2,1,0,1,1,9,4,3,4
1993,2,2,6,-1.324319236,4,4,5,5,2,1,6,1,1,7,,1,1,1,8,4,3,2
1995,2,2,3,-1.29402388,,,,,,,,,,,,,1,1,7,6,3,3
2000,2,3,7,-1.292486151,,,,,,,,,,,,,155,155,7,4,7,2
1995,1,2,6,-1.284953529,4,4,4,5,2,11,1,7,,7,,0,1,1,9,6,7,1
2001,1,3,8,-1.25751872,6,7,4,5,2,9,1,1,1,2,1,0,1,1,5,,7,2
2003,1,2,6,-1.238039316,4,4,4,4,2,,1,7,1,7,,4,1,1,4,4,3,3
2000,2,2,2,-1.223980644,4,4,4,4,2,1,3,1,2,2,1,1,1,1,4,5,7,1
2001,1,2,3,-1.203349099,3,3,5,4,,1,1,,,,,0,1,1,5,4,7,2
1964,1,3,6,-1.203348955,4,4,5,5,2,,,1,1,2,1,,1,1,14,4,,
2000,2,2,6,-1.194135597,4,4,5,5,2,6,1,1,1,2,1,0,1,1,5,4,2,4
1995,2,1,7,-1.193336059,6,6,5,5,1,5,7,1,1,7,,3,1,1,5,3,7,2
1990,2,2,6,-1.149228313,5,3,4,4,2,4,11,1,2,2,1,4,1,59,7,7,7,1
2004,1,2,4,-1.143613207,6,4,4,4,2,,,1,2,2,1,0,1,108,3,4,2,2
1960,1,2,8,-1.142751853,7,7,3,4,2,5,11,7,,7,,0,1,14,8,2,7,3
1962,1,2,6,-1.133750112,5,3,4,5,2,,,1,1,2,1,,225,225,9,6,7,1
1981,2,2,6,-1.120932194,4,4,3,4,1,7,5,6,1,6,1,4,1,1,9,5,7,2
1999,1,1,6,-1.110229885,4,4,3,3,2,5,5,1,2,1,2,2,48,48,4,2,2,3
1999,1,2,6,-1.103745455,6,5,5,5,2,3,2,2,2,5,1,0,1,1,4,4,2,2
1982,1,2,6,-1.100499717,4,4,3,3,1,6,8,1,1,2,1,1,1,1,9,4,2,3
1999,1,2,6,-1.07317085,4,3,5,4,2,,8,1,1,2,1,0,1,1,6,4,7,1
1992,1,1,,-1.06071237,4,1,5,4,2,2,3,1,1,6,2,2,31,31,6,2,3,2
2000,1,3,6,-1.040232204,7,7,5,5,2,11,1,1,2,2,1,,6,1,10,1,3,3
,,,,-1.037470975,2,4,5,4,2,2,1,7,,1,1,1,,,,,,
1999,1,1,5,-1.033607601,4,4,4,2,2,9,1,2,1,1,1,3,1,1,7,7,3,3
1997,1,2,6,-1.01279215,4,6,4,4,2,1,11,1,1,2,1,0,1,1,5,3,3,3
2000,2,2,6,-1.010530925,4,4,5,4,2,,,1,1,2,1,0,1,1,5,2,3,3
1993,2,3,6,-1.010317558,4,4,4,3,2,3,11,1,1,2,1,0,223,223,9,6,7,1
1995,2,2,6,-0.99333532,3,4,2,4,2,4,1,2,1,6,2,3,31,1,2,4,6,1
