birthyear,birthSex,ethnicityomb,raceomb_002,dscore,Mn_RT_all_3467,N_3467,PCT_error_3467,pct_300,pct_400,pct_2K,pct_3K,pct_4K,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,Mn_RT_all_3,Mn_RT_all_4,Mn_RT_all_6,Mn_RT_all_7,Mn_RT_correct_3,Mn_RT_correct_4,Mn_RT_correct_6,Mn_RT_correct_7,N_ERROR_3,N_ERROR_4,N_ERROR_6,N_ERROR_7,countrycit_num,countryres_num,edu,edu_14,politicalid_7,religion2014,religionid
1997,1,2,2,-1.563609537,588.85,120,37.5,50,50.83333333,3.333333333,1.666666667,0,4,4,2,2,1,6,4,6,1,2,1,2,1089.3,1136.275,48.85,61.2,1088.142857,1207.375,32.92857143,53.34782609,6,16,6,17,1,1,7,7,6,7,1
2001,1,2,6,-1.48996803,646.8833333,120,28.33333333,36.66666667,37.5,1.666666667,0,0,5,4,3,5,2,11,1,6,1,1,1,0,1251.15,929.375,318.2,226.6,1223.705882,893.8888889,510.1,169.0434783,3,4,10,17,1,1,4,4,4,3,3
2002,2,2,6,-1.482302081,326.55,120,33.33333333,56.66666667,62.5,0,0,0,4,4,3,4,2,1,1,2,1,1,1,0,739.5,437.05,116.2,114.75,623.8,408,66.625,77.48148148,5,10,12,13,1,1,3,3,6,7,1
2002,2,1,6,-1.461647729,1780.058333,120,0.833333333,0,0,39.16666667,12.5,4.166666667,3,4,5,4,2,3,6,1,1,5,1,4,2641.85,2539.475,1151.55,904,2641.85,2539.475,953.5789474,904,0,0,1,0,1,1,8,8,5,7,1
1986,1,2,6,-1.347673507,562.2166667,120,29.16666667,35.83333333,38.33333333,0,0,0,6,2,3,3,1,5,11,5,1,5,1,1,943.8,766.325,454.85,221,922.2631579,728.5555556,268.4,137.45,1,4,10,20,1,1,4,4,4,2,2
1995,1,3,7,-1.331634149,889.4083333,120,28.33333333,42.5,43.33333333,7.5,2.5,1.666666667,4,7,5,5,2,1,3,1,2,2,1,1,1636.25,1031.525,574.8,84.87179487,1633.411765,946.2121212,483.8333333,66.73913043,3,7,8,16,111,111,7,7,1,3,4
1969,2,2,6,-1.331589078,1454.666667,120,0.833333333,0,0,13.33333333,0,0,4,4,3,5,2,6,5,1,1,2,1,0,1177.75,1038.675,1605.7,1933.6,1177.75,1024.948718,1605.7,1933.6,0,1,0,0,1,1,9,9,4,3,4
2000,2,2,2,-1.223980644,6399.308333,120,38.33333333,53.33333333,54.16666667,15,10,5.833333333,4,4,4,4,2,1,3,1,2,2,1,1,1706.052632,1705.25641,104,133.9,1706.052632,1088.166667,52.7,85.53333333,0,9,10,25,1,1,4,4,5,7,1
2000,2,2,6,-1.194135597,962.7333333,120,0.833333333,0,1.666666667,4.166666667,0.833333333,0,4,4,5,5,2,6,1,1,1,2,1,0,1128.5,1212.525,798.85,712,1128.5,1212.525,798.85,649.5897436,0,0,0,1,1,1,5,5,4,2,4
1990,2,2,6,-1.149228313,873.8,120,1.666666667,0,0,0.833333333,0,0,5,3,4,4,2,4,11,1,2,2,1,4,1244.6,940.325,843.1,637.225,1244.6,940.325,840.3157895,628.4358974,0,0,1,1,1,59,7,7,7,7,1
1981,2,2,6,-1.120932194,988.6166667,120,2.5,0,0,3.333333333,0.833333333,0,4,4,3,4,1,7,5,6,1,6,1,4,1263.1,1217.4,801.9,715.95,1263.1,1178.871795,801.9,638.6315789,0,1,0,2,1,1,9,9,5,7,2
1999,1,1,6,-1.110229885,276.2333333,120,36.66666667,78.33333333,78.33333333,0,0,0,4,4,3,3,2,5,5,1,2,1,2,2,847.75,233.225,112.95,115.125,825.4210526,186.8695652,63.81818182,79.86956522,1,17,9,17,48,48,4,4,2,2,3
1999,1,2,6,-1.103745455,636.525,120,22.5,50,50.83333333,7.5,5,2.5,6,5,5,5,2,3,2,2,2,5,1,0,1080.55,1252.975,62.05,85.3,1080.55,1108.842105,33.66666667,44.56521739,0,2,8,17,1,1,4,4,4,2,2
1982,1,2,6,-1.100499717,1603.875,120,46.66666667,13.33333333,19.16666667,28.33333333,16.66666667,8.333333333,4,4,3,3,1,6,8,1,1,2,1,1,3378.45,1748.8,1258.6,744.3,2611,1504.84,905.125,493.9,9,15,12,20,1,1,9,9,4,2,3
1999,1,1,5,-1.033607601,1037.883333,120,17.5,0,0,5,0,0,4,4,4,2,2,9,1,2,1,1,1,3,822.6,760.575,1128.9,1377.325,776.1111111,706.6285714,1053.235294,1257.310345,2,5,3,11,1,1,7,7,7,3,3
1997,1,2,6,-1.01279215,974.1583333,120,0.833333333,0,0,5,1.666666667,0,4,6,4,4,2,1,11,1,1,2,1,0,833.35,709.075,1522,1035.725,815.7894737,709.075,1522,1035.725,1,0,0,0,1,1,5,5,3,3,3
1993,2,3,6,-1.010317558,1076.25,120,5,0,0,6.666666667,1.666666667,0,4,4,4,3,2,3,11,1,1,2,1,0,888.75,765.9,1483.6,1276.675,888.75,751.5897436,1392.842105,1216.861111,0,1,1,4,223,223,9,9,6,7,1
1995,2,2,6,-0.99333532,225.7833333,120,42.5,78.33333333,80,0.833333333,0,0,3,4,2,4,2,4,1,2,1,6,2,3,736.7,196.625,75.65,74.55,679.1666667,91.75,61.76923077,62.5,2,20,7,22,31,1,2,2,4,6,1
1995,2,2,6,-0.989021949,642.4166667,120,35.83333333,40.83333333,45.83333333,4.166666667,3.333333333,2.5,3,4,3,2,2,4,4,1,1,2,1,0,1074.75,991.55,230.6,283.025,882.5,823.09375,128.3333333,135.0555556,2,8,11,22,1,1,7,7,4,6,2
1998,2,2,6,-0.964376136,585.0916667,120,33.33333333,47.5,47.5,4.166666667,1.666666667,0.833333333,4,4,4,5,2,10,1,1,1,2,1,0,995.4,909.6,279.3,208.325,756.4736842,816.1081081,51.625,230.3125,1,3,12,24,1,1,4,4,3,2,3
1967,2,1,6,-0.96066337,2120.066667,120,25,0,0,39.16666667,17.5,10.83333333,4,2,4,4,2,4,11,1,1,2,1,4,1744.75,1264.025,3303.3,2572.15,1564.666667,1248.5,3151.545455,2170.26087,2,2,9,17,139,1,5,5,4,2,3
1997,2,2,6,-0.960638354,999,120,4.166666667,0,0,0.833333333,0,0,4,4,5,3,2,3,2,1,1,2,1,1,1067.25,713.55,1299.5,1100.075,1041.105263,699.4102564,1217.722222,1081.538462,1,1,2,1,225,225,9,9,7,6,3
1985,2,1,6,-0.957237778,1168.333333,120,5,0,0,9.166666667,5,0.833333333,4,4,5,5,2,4,11,1,1,2,1,0,1486.45,1551.75,954.4,732.825,1247.388889,1395.189189,889.4210526,732.825,2,3,1,0,1,1,5,5,6,7,1
1968,1,2,6,-0.95289087,3971.808333,120,0,0,0,100,100,46.66666667,4,4,2,4,1,8,11,1,1,2,1,0,3712,3943.85,3967.4,4131.875,3712,3943.85,3967.4,4131.875,0,0,0,0,1,1,12,12,4,7,1
1983,1,3,3,-0.946667163,1039.316667,120,6.666666667,0,0,6.666666667,0.833333333,0,4,4,4,5,1,1,9,5,1,1,1,0,940.5,801.85,1641.25,1025.225,895.4736842,801.85,1451.6,978.0789474,1,0,5,2,151,151,9,9,4,1,2
1981,1,2,5,-0.93949951,908.4,120,10.83333333,0,0,1.666666667,0,0,4,3,4,5,2,9,4,1,1,2,1,0,850.45,708.325,1272.1,955.6,850.45,679.4210526,1110.571429,860.2285714,0,2,6,5,1,1,7,7,5,2,3
1993,2,2,4,-0.937833243,880.65,120,3.333333333,0.833333333,0.833333333,1.666666667,0.833333333,0.833333333,7,4,5,5,1,3,11,5,1,5,1,4,902.4210526,590.925,1072.35,812.575,902.4210526,590.925,1030.411765,812.575,0,0,3,0,1,1,6,6,4,2,3
1956,2,2,6,-0.930650274,1042.808333,120,0,0,0,1.666666667,0,0,4,4,4,5,2,11,4,1,2,2,1,4,981.2,847.35,1252.3,1164.325,981.2,847.35,1252.3,1164.325,0,0,0,0,1,1,7,7,6,3,3
1990,2,2,6,-0.928412581,772.4583333,120,2.5,0,0,0.833333333,0,0,4,3,4,4,2,8,8,1,1,2,1,0,755.75,637.05,1045.95,779.475,736.1578947,632.4871795,1045.95,779.6153846,1,1,0,1,1,1,7,7,3,3,2
1963,1,2,6,-0.902263613,1080.933333,120,0,0,0,1.666666667,0,0,4,4,3,5,2,11,7,1,1,2,1,0,1152.25,1241.3,915.9,967.425,1152.25,1241.3,915.9,967.425,0,0,0,0,1,1,12,12,7,7,1
1950,1,2,6,-0.90040547,2071.166667,120,0.833333333,0,0,36.66666667,18.33333333,10,4,4,5,4,2,10,7,1,2,2,1,0,2971.4,2469.5,1774.95,1370.825,2971.4,2469.5,1738.526316,1370.825,0,0,1,0,1,1,11,11,6,7,3
1995,2,1,6,-0.899902854,848.2333333,120,26.66666667,31.66666667,35.83333333,5.833333333,1.666666667,0.833333333,4,3,4,5,2,11,1,1,1,2,1,0,1312.05,1127.775,613.35,454.225,1313.055556,1107.055556,671.6153846,505.8095238,2,4,7,19,1,1,7,7,6,2,2
1986,1,1,1,-0.893879343,1050.95,120,5,0,0,6.666666667,2.5,0,4,5,4,4,1,2,5,1,1,6,2,0,800.45,792.225,1469.65,1225.575,800.45,782.5384615,1459.777778,1179.243243,0,1,2,3,1,1,7,7,2,2,3
1985,2,2,6,-0.892835413,1154.658333,120,14.16666667,0.833333333,5,10.83333333,0.833333333,0.833333333,4,3,5,2,2,4,9,1,1,2,1,1,1705.8,1294.4,1097.9,767.725,1524.705882,1205.029412,923.5625,695.5555556,3,6,4,4,1,1,9,9,7,5,2
1958,2,3,6,-0.882819959,2330.616667,120,20,0,0,42.5,26.66666667,16.66666667,4,1,4,5,2,4,11,1,2,6,2,4,3776.210526,2615.575,1921.45,1330.4,3039.846154,1827.821429,1538.352941,1289.052632,6,12,3,2,1,1,8,8,6,3,2
1995,1,1,6,-0.880806824,557.6416667,120,38.33333333,31.66666667,40,1.666666667,0,0,6,5,4,4,2,4,2,5,2,1,1,0,758.85,756.975,458.45,307.3,716.7058824,693.2258065,339.2857143,121.1052632,3,9,13,21,1,1,7,7,6,2,1
1967,2,2,6,-0.874733598,1260.383333,120,3.333333333,0,0,3.333333333,0.833333333,0.833333333,4,3,4,5,2,5,11,1,1,2,1,4,1124.95,996.8,1523.25,1460.25,1124.95,901.5,1523.25,1460.25,0,4,0,0,1,1,7,7,7,7,1
2002,2,2,6,-0.867050592,878.9166667,120,3.333333333,0,0,0,0,0,5,3,4,3,2,3,1,1,1,2,1,2,781.1,725.025,1077.75,982.3,781.1,725.025,996.7222222,943.7368421,0,0,2,2,74,74,3,3,6,2,1
1977,1,2,6,-0.851818179,855.6916667,120,4.166666667,0,0,3.333333333,1.666666667,0,6,5,4,3,1,9,11,1,2,2,1,0,826.15,624.75,1336.8,860.85,761.5789474,624.75,1146.647059,841.1025641,1,0,3,1,1,1,14,14,2,7,1
1993,2,2,5,-0.850885996,844.5333333,120,0.833333333,0,0.833333333,2.5,0,0,4,3,4,5,2,1,1,1,1,2,1,1,805.7,632.35,1102.55,947.125,805.7,632.35,1102.55,933.1538462,0,0,0,1,1,1,7,7,5,3,3
1970,2,3,2,-0.8469671,1028.116667,120,1.666666667,0,0,2.5,1.666666667,0.833333333,4,4,3,3,2,2,11,1,2,5,2,0,899.6,685.55,1346,1276,899.6,655.5384615,1346,1162.410256,0,1,0,1,170,170,8,8,5,2,1
1968,2,2,2,-0.844514532,785.55,120,4.166666667,0,0,0,0,0,4,3,4,4,2,8,5,1,2,2,1,0,1044.35,813.475,751.6,645.2,1028.947368,792.025641,726.6842105,617.7894737,1,1,1,2,1,1,7,7,7,7,1
